"price","mileage","tax","mpg","age","model","transmission","fuelType","manufacturer","model_collapsed","engineSize_int"
16800,25952,145,67.3,3,"A4","Automatic","Diesel","Audi","A4","[1.8,2.1)"
14500,26156,145,58.9,3,"A3","Automatic","Petrol","Audi","A3","[0.0,1.5)"
18500,17418,145,62.8,3,"A4","Automatic","Diesel","Audi","A4","[1.8,2.1)"
19500,33300,145,61.4,3,"A5","Automatic","Diesel","Audi","A5","[1.8,2.1)"
16500,21369,125,51.4,3,"Q3","Manual","Petrol","Audi","Q3","[0.0,1.5)"
17100,29545,145,65.7,3,"A3","Manual","Diesel","Audi","A3","[1.8,2.1)"
10200,66369,0,83.1,4,"A3","Manual","Diesel","Audi","A3","[1.5,1.8)"
16100,16666,30,60.1,4,"Q3","Manual","Diesel","Audi","Q3","[1.8,2.1)"
14100,10460,20,60.1,4,"A3","Manual","Petrol","Audi","A3","[0.0,1.5)"
25499,7897,145,47.9,1,"Q2","Semi-Auto","Diesel","Audi","Q2","[1.8,2.1)"
16200,30075,160,51.4,5,"Q3","Automatic","Diesel","Audi","Q3","[1.8,2.1)"
17300,24421,30,61.4,4,"A6","Automatic","Diesel","Audi","A6","[1.8,2.1)"
25000,5000,145,38.7,1,"A4","Manual","Petrol","Audi","A4","[1.8,2.1)"
28000,4000,145,42.8,1,"Q3","Manual","Diesel","Audi","Q3","[1.8,2.1)"
14800,23714,145,68.9,3,"Q2","Automatic","Diesel","Audi","Q2","[1.5,1.8)"
11700,31376,125,58.9,6,"A4","Manual","Diesel","Audi","A4","[1.8,2.1)"
11950,60604,20,67.3,6,"A4","Manual","Diesel","Audi","A4","[1.8,2.1)"
20000,20852,30,65.7,3,"A4","Automatic","Diesel","Audi","A4","[1.8,2.1)"
13900,14392,145,53.3,3,"A4","Manual","Petrol","Audi","A4","[0.0,1.5)"
17100,52267,157.01418526207,37.7,6,"Q5","Manual","Petrol","Audi","Q5","[1.8,2.1)"
16798,65835,125,61.4,5,"A6","Semi-Auto","Diesel","Audi","A6","[1.8,2.1)"
16985,34646,30,61.4,5,"A6","Manual","Diesel","Audi","A6","[1.8,2.1)"
39985,5201,145,38.7,1,"A7","Automatic","Diesel","Audi","A7","[2.2,5.5]"
27985,1414,145,40.9,1,"Q2","Semi-Auto","Petrol","Audi","Q2","[1.5,1.8)"
24985,5071,145,50.4,2,"A5","Automatic","Petrol","Audi","A5","[1.8,2.1)"
34485,10,145,47.1,1,"Q3","Automatic","Diesel","Audi","Q3","[1.8,2.1)"
35895,2000,145,47.9,1,"A6","Automatic","Diesel","Audi","A6","[1.8,2.1)"
23985,10,145,44.8,1,"A3","Automatic","Petrol","Audi","A3","[1.5,1.8)"
38985,1420,145,50.4,3,"A8","Automatic","Diesel","Audi","Other","[2.2,5.5]"
20485,10,145,48.7,1,"A1","Manual","Petrol","Audi","A1","[0.0,1.5)"
35985,650,145,47.1,1,"Q3","Automatic","Diesel","Audi","Q3","[1.8,2.1)"
37985,10,145,38.2,1,"Q5","Automatic","Diesel","Audi","Q5","[1.8,2.1)"
23998,14078,145,45.6,2,"A5","Semi-Auto","Petrol","Audi","A5","[1.8,2.1)"
16498,28801,125,49.6,3,"A4","Manual","Petrol","Audi","A4","[1.8,2.1)"
25000,16703,200,41.5,3,"A3","Semi-Auto","Petrol","Audi","A3","[1.8,2.1)"
19995,19000,150,49.6,2,"A3","Manual","Petrol","Audi","A3","[1.8,2.1)"
11650,18900,0,67.3,4,"A1","Manual","Petrol","Audi","A1","[0.0,1.5)"
29985,38654,200,47.9,4,"Q7","Automatic","Diesel","Audi","Q7","[2.2,5.5]"
13495,17152,30,56.5,5,"A1","Manual","Petrol","Audi","A1","[0.0,1.5)"
39995,7801,145,34,3,"Q5","Semi-Auto","Petrol","Audi","Q5","[2.2,5.5]"
19995,29653,145,62.8,3,"A4","Semi-Auto","Diesel","Audi","A4","[1.8,2.1)"
15995,14401,20,60.1,4,"A3","Manual","Petrol","Audi","A3","[0.0,1.5)"
11995,24764,0,74.3,6,"A1","Manual","Diesel","Audi","A1","[1.5,1.8)"
39454,7925,145,45.6,0,"A5","Semi-Auto","Diesel","Audi","A5","[1.8,2.1)"
38995,6588,145,48.7,2,"A8","Semi-Auto","Diesel","Audi","Other","[2.2,5.5]"
19995,20141,30,67.3,4,"A4","Manual","Diesel","Audi","A4","[1.8,2.1)"
14495,8608,145,67.3,3,"A1","Manual","Petrol","Audi","A1","[0.0,1.5)"
17995,38244,145,49.6,5,"Q3","Manual","Petrol","Audi","Q3","[0.0,1.5)"
39995,17648,145,34.5,2,"TT","Semi-Auto","Petrol","Audi","TT","[2.2,5.5]"
24995,22086,145,62.8,3,"A5","Semi-Auto","Diesel","Audi","A5","[1.8,2.1)"
41995,933,145,45.6,1,"A7","Semi-Auto","Diesel","Audi","A7","[1.8,2.1)"
